x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8,,x9,y9,,x10,y10,,x11,y11,,x12,y12
18.97210506,186.2533,,18.9786116,157.1439,,18.99469101,204.7156,,18.99092249,218.4683,,18.98498335,157.9245,,18.96828812,209.3095,,18.99457424,325.1695,,18.96948878,253.4759,,18.99344301,319.0047,,18.98360819,242.1324,,18.94820389,224.4877,,18.94282024,230.1224
19.9706369,185.6748,,19.97748589,156.3528,,19.99441159,204.0376,,19.99044473,217.5362,,19.984193,157.7642,,19.96661908,209.0404,,19.99428867,323.8712,,19.96788292,252.8035,,19.99309791,318.6901,,19.98274547,241.7244,,19.94547778,223.8669,,19.93981078,229.4078
20.96916875,184.9741,,20.97636018,155.6582,,20.99413217,203.5541,,20.98996696,216.6134,,20.98340265,157.5477,,20.96495003,208.6258,,20.99400311,322.8025,,20.96627707,252.1935,,20.9927528,318.5353,,20.98188274,241.3708,,20.94275167,223.1936,,20.93680132,228.8234
21.96770059,184.1613,,21.97523448,155.0898,,21.99385275,202.8814,,21.9894892,215.8548,,21.9826123,157.2835,,21.96328098,208.0798,,21.99371754,322.1116,,21.96467122,251.6493,,21.9924077,318.2207,,21.98102001,241.0804,,21.94002556,222.4807,,21.93379186,228.4357
22.96623244,183.4513,,22.97410878,154.5706,,22.99357333,202.2606,,22.98901144,215.1469,,22.98182195,156.8248,,22.96161194,207.5406,,22.99343198,321.8033,,22.96306537,251.17,,22.9920626,317.8023,,22.98015729,240.572,,22.93729945,221.9694,,22.9307824,227.8699
23.96476428,182.7972,,23.97298307,153.9603,,23.99329391,201.5655,,23.98853367,214.4705,,23.9810316,156.1217,,23.95994289,206.8922,,23.99314641,321.7595,,23.96145951,250.6466,,23.99171749,317.3053,,23.97929456,239.998,,23.93457334,221.4549,,23.92777294,226.9757
24.96329613,182.0701,,24.97185736,153.1999,,24.99301449,200.8741,,24.98805591,213.6997,,24.98024126,155.4445,,24.95827385,206.2623,,24.99286084,321.788,,24.95985366,250.1194,,24.99137239,316.9288,,24.97843183,239.4222,,24.93184723,220.9809,,24.92476348,226.2239
25.96182797,181.3135,,25.97073165,152.5917,,25.99273507,200.2329,,25.98757814,212.9089,,25.9794509,154.7993,,25.9566048,205.5912,,25.99257528,321.8415,,25.9582478,249.5903,,25.99102728,316.6634,,25.97756911,238.8789,,25.92912111,220.6419,,25.92175402,225.4289
26.96035982,180.5731,,26.96960595,152.048,,26.99245565,199.5423,,26.98710038,212.0367,,26.97866055,154.1938,,26.95493575,204.9211,,26.99228971,321.8318,,26.95664195,249.0377,,26.99068218,316.3591,,26.97670638,238.3366,,26.92639501,220.4024,,26.91874456,224.7327
27.95889166,179.8788,,27.96848025,151.511,,27.99217623,198.8574,,27.98662262,211.1393,,27.97787021,153.3763,,27.95326671,204.2344,,27.99200414,321.4361,,27.95503609,248.4542,,27.99033707,316.0281,,27.97584365,237.7742,,27.92366889,220.1821,,27.91573509,224.0864
