x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8
0,425.4075,,0,474.0972,,0,461.02,,0,489.4929,,0,460.0656,,0,476.4176,,0,426.9019,,0,448.1762
0.999636409,425.333,,0.999531194,474.0587,,0.997016954,460.8045,,0.999258234,489.3541,,0.99843167,459.6942,,0.997877285,476.3081,,0.998063427,426.8425,,0.999370781,448.0182
1.999272818,425.2269,,1.999062387,474.0139,,1.994033903,460.6131,,1.998516468,489.2098,,1.996863334,459.2754,,1.995754567,476.1869,,1.996126853,426.7848,,1.998741562,447.8697
2.998909231,425.0767,,2.99859358,473.9863,,2.991050854,460.4218,,2.9977747,489.0482,,2.995295004,458.8888,,2.993631851,475.9781,,2.994190279,426.7176,,2.998112343,447.6632
3.998545639,424.9172,,3.998124776,473.9598,,3.988067806,460.2156,,3.997032934,488.8895,,3.993726668,458.5265,,3.991509137,475.6744,,3.992253705,426.6441,,3.997483124,447.4
4.998182051,424.7806,,4.99765597,473.9411,,4.985084758,460.0043,,4.996291168,488.7241,,4.992158334,458.1676,,4.989386419,475.354,,4.99031713,426.57,,4.996853905,447.2189
5.997818461,424.6253,,5.997187162,473.9486,,5.982101708,459.7826,,5.995549401,488.54,,5.990590002,457.8241,,5.987263702,475.1097,,5.988380554,426.5079,,5.996224686,447.1266
6.997454868,424.4298,,6.996718356,473.9512,,6.979118661,459.5631,,6.994807635,488.3625,,6.989021667,457.5099,,6.985140984,474.9046,,6.986443981,426.4355,,6.995595467,447.0258
7.99709128,424.2149,,7.996249549,473.936,,7.976135612,459.4037,,7.994065866,488.2112,,7.987453336,457.2551,,7.983018269,474.6842,,7.984507407,426.3772,,7.994966247,446.8886
8.996727689,423.9892,,8.995780743,473.9806,,8.973152563,459.2733,,8.9933241,488.0777,,8.985885001,456.9916,,8.980895551,474.4829,,8.982570834,426.3319,,8.994337029,446.6938
9.996364099,423.7583,,9.995311936,474.0638,,9.970169515,459.0974,,9.992582334,487.9505,,9.984316669,456.6706,,9.978772835,474.3272,,9.980634259,426.2786,,9.993707809,446.4498
10.99600051,423.6019,,10.99484313,474.0814,,10.96718647,458.8186,,10.99184057,487.8305,,10.98274833,456.2956,,10.97665012,474.2067,,10.97869769,426.2229,,10.99307859,446.2386
11.99563692,423.5524,,11.99437432,474.0466,,11.96420342,458.5516,,11.9910988,487.72,,11.98118,455.9079,,11.9745274,474.0266,,11.97676111,426.1626,,11.99244937,446.0701
12.99527333,423.5424,,12.99390552,474.0012,,12.96122037,458.3546,,12.99035703,487.6325,,12.97961167,455.5216,,12.97240469,473.7412,,12.97482454,426.0816,,12.99182015,445.8884
13.99490974,423.5369,,13.99343671,473.9889,,13.95823732,458.0627,,13.98961527,487.565,,13.97804334,455.1533,,13.97028197,473.2649,,13.97288796,425.9969,,13.99119093,445.6992
14.99454615,423.5336,,14.99296791,473.977,,14.95525427,457.727,,14.9888735,487.484,,14.976475,454.8069,,14.96815925,472.7802,,14.97095139,425.9084,,14.99056171,445.5236
15.99418256,423.5376,,15.9924991,473.9169,,15.95227122,457.5156,,15.98813173,487.3839,,15.97490667,454.4627,,15.96603653,472.3503,,15.96901482,425.819,,15.98993249,445.3908
16.99381897,423.5425,,16.99203029,473.8795,,16.94928818,457.3614,,16.98738997,487.2622,,16.97333834,454.1056,,16.96391382,472.0176,,16.96707824,425.7313,,16.98930328,445.2792
17.99345538,423.5435,,17.99156149,473.8669,,17.94630513,457.2349,,17.9866482,487.1374,,17.97177,453.7423,,17.9617911,471.7907,,17.96514167,425.6215,,17.98867406,445.1394
18.99309179,423.5477,,18.99109268,473.7943,,18.94332208,457.1125,,18.98590643,487.0323,,18.97020167,453.3952,,18.95966839,471.5685,,18.96320509,425.5433,,18.98804484,444.9831
19.9927282,423.5529,,19.99062387,473.7078,,19.94033903,456.96,,19.98516467,486.9234,,19.96863334,453.0422,,19.95754567,471.2552,,19.96126852,425.4618,,19.98741562,444.8444
20.99236461,423.5535,,20.99015507,473.714,,20.93735598,456.7239,,20.9844229,486.8002,,20.967065,452.6724,,20.95542295,470.8702,,20.95933195,425.3682,,20.9867864,444.6992
21.99200102,423.5406,,21.98968626,473.7975,,21.93437293,456.4224,,21.98368113,486.6818,,21.96549667,452.3277,,21.95330024,470.5573,,21.95739537,425.2622,,21.98615718,444.5412
22.99163743,423.5238,,22.98921745,473.9039,,22.93138988,456.0494,,22.98293936,486.5882,,22.96392833,451.9854,,22.95117752,470.3289,,22.9554588,425.1462,,22.98552796,444.4259
23.99127384,423.5163,,23.98874865,473.9337,,23.92840684,455.6614,,23.9821976,486.5055,,23.96236,451.6355,,23.9490548,470.1036,,23.95352222,425.0094,,23.98489874,444.3467
24.99091025,423.5257,,24.98827984,473.8664,,24.92542379,455.3936,,24.98145583,486.4016,,24.96079167,451.294,,24.94693209,469.8759,,24.95158565,424.8578,,24.98426953,444.2542
25.99054666,423.5167,,25.98781104,473.8162,,25.92244074,455.1222,,25.98071406,486.2498,,25.95922333,450.9823,,25.94480937,469.6818,,25.94964907,424.7236,,25.98364031,444.1596
26.99018307,423.4751,,26.98734223,473.771,,26.91945769,454.8638,,26.9799723,486.0727,,26.957655,450.6951,,26.94268665,469.5366,,26.9477125,424.5944,,26.98301108,444.0937
