X,Graphic Profile 1
0,455.7366
29.11476368,448.0506
58.22952736,440.0358
87.34429104,431.7134
116.4590547,420.7299
145.5738184,404.4997
174.6885821,378.3201
203.8033458,362.4877
232.9181094,359.6825
262.0328731,362.7294
291.1476368,369.8119
320.2624005,383.8296
349.3771642,395.7418
378.4919278,402.0225
407.6066915,406.2602
436.7214552,414.8577
465.8362189,427.7956
494.9509825,439.5492
524.0657462,446.584
553.1805099,449.742
